GEOID,2016,2017,2018,2019,13qct,14qct,15qct,17qct,16qct,18qct,19qct,NMDDA
41033361300,,,,,0,0,0,0,0,0,0,
53031950500,,,,,0,0,0,0,0,0,0,1
41033360800,168570,,,,0,0,0,0,0,0,0,
6011000400,,130579,36950,,0,0,0,0,0,0,0,
45085002000,,,,,0,0,0,0,0,0,0,
51193010400,,,,,0,0,0,0,0,0,0,0
15007040900,,40968,43244,40161,0,0,0,0,,0,0,
19057000200,,,,,0,0,0,0,,0,0,
6109003200,,161065,,,0,0,0,0,0,0,0,
6093000400,30457,127456,,,0,0,0,0,0,0,0,
40113940010,,,,,0,0,0,0,0,0,0,
36045061500,,,,,0,0,0,0,0,0,0,
24027606803,,,,,0,0,0,0,,0,0,
15003008920,,,,,0,0,0,0,,0,0,
20191962500,,,,,0,0,0,0,,0,0,
20003953600,,,,,0,0,0,0,,0,0,
16055000402,,,,,0,0,0,0,,0,0,
72127006800,,,147114,,0,0,0,0,0,0,0,
6063000300,50556,94220,,,0,0,0,0,0,0,0,
16049940000,,71456,71456,,0,0,0,0,,0,0,
48141003300,,,,,0,0,0,0,0,0,0,
35013001203,,,141632,,0,0,0,0,0,0,0,
41023960200,,137808,,,0,0,0,0,0,0,0,0
53015001200,,,,,0,0,0,0,0,0,0,
37103920100,,,,,0,0,0,0,0,0,0,
40125501001,,,,,0,0,0,0,0,0,0,0
6093001000,,136978,,,0,0,0,0,0,0,0,
53059950200,,,,,0,0,0,0,0,0,0,
16055000200,,,,,0,0,0,0,,0,0,
27145000500,,,,,0,0,0,0,,0,0,
16079960200,,,,,0,0,0,0,,0,0,
35043011000,,,,,0,0,0,0,0,0,0,
5073470100,,37148,33976,0,0,0,0,0,0,0,0,
20191962400,,,,,0,0,0,0,,0,0,
27053026103,,,,127451,0,0,0,0,,0,0,
6001441503,,24798,74394,27750,0,0,0,0,0,0,0,
11001008701,,,,,0,0,0,0,,0,0,
6037219902,,,,,0,0,0,0,0,0,0,
1095030500,,,,,0,0,0,0,0,0,0,
47177930800,,,,,0,0,0,0,0,0,0,0
45011970400,,,,120219,0,0,0,0,0,0,0,1
51059481900,,,,114810,0,0,0,0,0,0,0,
17031220702,,,114151,0,0,0,0,0,,0,0,
36045060500,,,,,0,0,0,0,0,0,0,
41059940000,,,,,0,0,0,0,0,0,0,1
48113980000,,,,108920,0,0,0,0,0,0,0,
41023960200,,,,,0,0,0,0,0,0,0,0
2105000300,,106187,,,0,0,0,0,0,0,0,
51067020102,,,,,0,0,0,0,0,0,0,
12113010600,,,,,0,0,0,0,,0,0,
39077916600,,,,,0,0,0,0,0,0,0,0
22103040701,,,,,0,0,0,0,,0,0,
6073021400,,51076,,,0,0,0,0,0,0,0,
13087970300,,101409,,,0,0,0,0,,0,0,
15003001300,,,,,0,0,0,0,,0,0,
42063960600,,,,,0,0,0,0,0,0,0,0
40121486000,,,,,0,0,0,0,0,0,0,1
28075010600,,,,,0,0,0,0,,0,0,
46085972600,,,,,0,0,0,0,0,0,0,0
6037920035,,,,,0,0,0,0,0,0,0,
40143007503,,,,,0,0,0,0,0,0,0,
11001010100,,,,,0,0,0,0,,0,0,
42053530201,,,,,0,0,0,0,0,0,0,0
21197970100,,,43136,43136,0,0,0,0,,0,0,
27021960301,,,,,0,0,0,0,,0,0,
51059482202,,,55163,28279,0,0,0,0,0,0,0,
6111008201,64161,6220,12539,,0,0,0,0,0,0,0,
6031000800,,,,,0,0,0,0,0,0,0,
48029190504,,,,,0,0,0,0,0,0,0,
51139030300,80064,,,,0,0,0,0,0,0,0,0
40111000400,,,,80000,0,0,0,0,0,0,0,
53051970100,,,,80000,0,0,0,0,0,0,0,
8041007201,,,,79543,0,0,0,0,0,0,0,
28075010201,,,,,0,0,0,0,,0,0,
6103000100,,79062,,,0,0,0,0,0,0,0,
12011031001,,14539,10016,53618,0,0,0,0,,0,0,
40125501001,,,,76640,0,0,0,0,0,0,0,0
27035951302,,,,,0,0,0,0,,0,0,
41035971500,,,,,0,0,0,0,0,0,0,1
51059480202,,,,76000,0,0,0,0,0,0,0,
28025950500,,,,,0,0,0,0,,0,0,
39073965400,,,,,0,0,0,0,0,0,0,
40109103800,,,,,0,0,0,0,0,0,0,
28151000900,,,,,0,0,0,0,,0,0,
48277000102,,,,,0,0,0,0,0,0,0,0
33007950900,,,71656,,0,0,0,0,0,0,0,0
36045061100,,,,,0,0,0,0,0,0,0,
38103960000,,,,,0,0,0,0,0,0,0,0
48241950100,,,,68144,0,0,0,0,0,0,0,1
23027045000,,,,,0,0,0,0,,0,0,
